Year,Month,District,Accident,Deaths,Injured
2011,3,Dongjak,106,0,149
2011,4,Dongjak,113,1,152
2011,5,Dongjak,121,0,169
2011,6,Dongjak,93,2,127
2011,7,Dongjak,100,0,134
2011,8,Dongjak,97,2,139
2011,9,Dongjak,96,2,140
2011,10,Dongjak,107,1,140
2011,11,Dongjak,100,1,137
2011,12,Dongjak,89,3,130
2011,1,Gwanak,119,1,182
2011,2,Gwanak,114,1,158
2011,3,Gwanak,142,1,192
2011,4,Gwanak,142,5,207
2011,5,Gwanak,165,0,226
2011,6,Gwanak,170,2,222
2011,7,Gwanak,151,1,197
2011,8,Gwanak,152,4,221
2011,9,Gwanak,154,1,206
2011,10,Gwanak,152,0,212
2011,11,Gwanak,138,0,182
2011,12,Gwanak,138,1,191
2011,1,Seocho,153,1,216
2011,2,Seocho,126,2,182
2011,3,Seocho,142,0,202
2011,4,Seocho,167,3,246
2011,5,Seocho,195,0,330
2011,6,Seocho,185,0,288
2011,7,Seocho,173,2,286
2011,8,Seocho,202,2,352
2011,9,Seocho,157,2,270
2011,10,Seocho,178,0,272
2011,11,Seocho,190,2,272
2011,12,Seocho,180,3,273
2011,1,Gangnam,229,4,331
2011,2,Gangnam,204,2,297
2011,3,Gangnam,260,1,374
2011,4,Gangnam,292,2,436
2011,5,Gangnam,281,4,398
2011,6,Gangnam,289,6,431
2011,7,Gangnam,350,2,494
2011,8,Gangnam,294,4,449
2011,9,Gangnam,299,1,417
2011,10,Gangnam,353,3,544
2011,11,Gangnam,333,5,461
2011,12,Gangnam,378,2,552
2011,1,Songpa,167,2,252
2011,2,Songpa,154,3,226
2011,3,Songpa,198,3,306
2011,4,Songpa,213,2,284
2011,5,Songpa,206,2,281
2011,6,Songpa,224,3,325
2011,7,Songpa,224,6,324
2011,8,Songpa,219,3,301
2011,9,Songpa,198,4,270
2011,10,Songpa,244,1,314
2011,11,Songpa,254,3,360
2011,12,Songpa,253,4,389
2011,1,Gangdong,114,1,154
2011,2,Gangdong,80,0,115
2011,3,Gangdong,106,2,147
2011,4,Gangdong,113,1,157
2011,5,Gangdong,128,0,200
2011,6,Gangdong,109,2,174
2011,7,Gangdong,126,2,176
2011,8,Gangdong,120,3,168
2011,9,Gangdong,137,1,214
2011,10,Gangdong,149,1,214
2011,11,Gangdong,126,0,186
2011,12,Gangdong,115,0,175
2012,1,Jongno,110,1,154
2012,2,Jongno,118,1,177
2012,3,Jongno,126,1,186
2012,4,Jongno,121,2,189
2012,5,Jongno,121,0,179
2012,6,Jongno,109,0,152
2012,7,Jongno,112,2,153
2012,8,Jongno,106,1,181
2012,9,Jongno,122,1,168
2012,10,Jongno,114,1,155
2012,11,Jongno,123,1,167
2012,12,Jongno,92,1,133
2012,1,Jung,83,3,140
2012,2,Jung,127,1,175
2012,3,Jung,126,0,175
2012,4,Jung,118,1,149
2012,5,Jung,116,0,157
2012,6,Jung,122,2,163
2012,7,Jung,144,1,194
2012,8,Jung,129,0,183
2012,9,Jung,132,2,189
2012,10,Jung,121,0,149
2012,11,Jung,123,2,180
2012,12,Jung,117,0,164
2012,1,Yongsan,77,2,144
2012,2,Yongsan,84,1,138
2012,3,Yongsan,103,0,147
2012,4,Yongsan,117,1,161
2012,5,Yongsan,103,0,128
2012,6,Yongsan,107,1,148
2012,7,Yongsan,125,1,178
2012,8,Yongsan,101,2,148
2012,9,Yongsan,105,2,185
2012,10,Yongsan,88,0,127
2012,11,Yongsan,99,0,150
2012,12,Yongsan,94,1,155
2012,1,Seongdong,65,0,95
2012,2,Seongdong,76,1,105
2012,3,Seongdong,86,1,114
2012,4,Seongdong,89,0,128
2012,5,Seongdong,89,2,119
2012,6,Seongdong,93,2,141
2012,7,Seongdong,74,0,95
2012,8,Seongdong,76,0,108
2012,9,Seongdong,88,0,134
2012,10,Seongdong,90,0,138
2012,11,Seongdong,72,0,95
2012,12,Seongdong,88,0,128
2012,1,Gwangjin,135,1,213
2012,2,Gwangjin,142,3,224
